Year,Per capita income (E)
1970,3399.299
1971,3768.298
1972,4251.175
1973,4804.463
1974,5576.515
1975,5998.144
1976,7062.131
1977,7100.126
1978,7247.967
1979,7602.913
1980,8355.968
1981,9434.391
1982,9619.438
1983,10416.54
1984,10790.33
1985,11018.96
1986,11482.89
1987,12974.81
1988,15080.28
1989,16426.73
1990,16838.67
1991,17266.1
1992,16412.08
1993,15875.59
1994,15755.82
1995,16369.32
1996,16699.83
1997,17310.76
1998,16622.67
1999,17581.02
2000,18987.38
2001,18601.4
2002,19232.18
2003,22739.43
2004,25719.15
2005,29198.06
2006,32738.26
2007,36144.48
2008,37446.49
2009,32755.18
2010,38420.52
2011,42334.71
2012,42665.26
2013,42676.47
2014,41039.89
2015,35175.19
2016,34229.19
2017,36824.22
2018,35221.81
2019,34823.81
2020,35822.23
2021,36882.73
2022,36351.35
2023,35291.76
